N,NITS,Error, FLOPS, Time,Time/Call, MFLOPS
2, 10000,7.859082e-17,200000,1.900000e-01,9.500000e-06,1.052632
4, 10000,1.209837e-16,800000,3.400000e-01,1.700000e-05,2.352941
8, 10000,6.820795e-17, 2400000,2.700000e-01,1.350000e-05,8.888889
16, 10000,1.438671e-16, 6400000,1.900000e-01,9.500000e-06, 33.684211
32,1000,1.331210e-16, 1600000,0.000000e+00,0.000000e+00, inf
64,1000,1.776545e-16, 3840000,3.000000e-02,1.500000e-05,128.000000
128,1000,1.929043e-16, 8960000,2.000000e-02,1.000000e-05,448.000000
256,1000,2.092319e-16,20480000,4.000000e-02,2.000000e-05,512.000000
512, 100,1.927488e-16, 4608000,1.000000e-02,5.000000e-05,460.800000
1024, 100,2.308607e-16,10240000,3.000000e-02,1.500000e-04,341.333333
2048, 100,2.447624e-16,22528000,3.000000e-02,1.500000e-04,750.933333
4096, 100,2.479782e-16,49152000,6.000000e-02,3.000000e-04,819.200000
8192,10,2.578834e-16,10649600,2.000000e-02,1.000000e-03,532.480000
16384,10,2.731273e-16,22937600,3.000000e-02,1.500000e-03,764.586667
32768,10,2.921322e-16,49152000,6.000000e-02,3.000000e-03,819.200000
65536,10,2.828400e-16, 104857600,1.200000e-01,6.000000e-03,873.813333
131072, 1,3.149840e-16,22282240,3.000000e-02,1.500000e-02,742.741333
262144, 1,3.219822e-16,47185920,6.000000e-02,3.000000e-02,786.432000
524288, 1,3.279652e-16,99614720,1.200000e-01,6.000000e-02,830.122667
1048576, 1,3.284238e-16, 209715200,2.500000e-01,1.250000e-01,838.860800
2097152, 1,3.509064e-16, 440401920,5.400000e-01,2.700000e-01,815.559111
4194304, 1,3.560301e-16, 922746880,1.170000e+00,5.850000e-01,788.672547
8388608, 1,3.711263e-16,1929379840,2.390000e+00,1.195000e+00,807.271900
16777216, 1,3.653336e-16,4026531840,5.110000e+00,2.555000e+00,787.971006
33554432, 1,3.816355e-16,8388608000,1.041000e+01,5.205000e+00,805.822094
