N,NITS,Error, FLOPS, Time,Time/Call, MFLOPS
1024,10,2.308607e-16, 1024000, 0.01587,7.933497e-04, 64.536480
2048,10,2.447624e-16, 2252800, 0.01731,8.654475e-04,130.152317
4096,10,2.479782e-16, 4915200, 0.01977,9.886980e-04,248.569329
8192, 1,2.578834e-16, 1064960, 0.00219,1.094937e-03,486.310940
16384, 1,2.731273e-16, 2293760, 0.00285,1.423597e-03,805.621064
32768, 1,2.921322e-16, 4915200, 0.00369,1.846433e-03, 1330.998968
65536, 1,2.828400e-16,10485760, 0.00634,3.169537e-03, 1654.147176
131072, 1,3.149840e-16,22282240, 0.00957,4.785538e-03, 2328.081117
262144, 1,3.219822e-16,47185920, 0.02010,1.005149e-02, 2347.210477
524288, 1,3.279652e-16,99614720, 0.04186,2.092898e-02, 2379.827520
1048576, 1,3.284238e-16, 209715200, 0.07698,3.848994e-02, 2724.286035
2097152, 1,3.509064e-16, 440401920, 0.13163,6.581450e-02, 3345.782106
4194304, 1,3.560301e-16, 922746880, 0.31491,1.574560e-01, 2930.173011
8388608, 1,3.711263e-16,1929379840, 0.62655,3.132759e-01, 3079.361731
16777216, 1,3.653336e-16,4026531840, 1.30634,6.531705e-01, 3082.297843
33554432, 1,3.816355e-16,8388608000, 1.98659,9.932971e-01, 4222.607717
