N,NITS,Error, FLOPS, Time,Time/Call, MFLOPS
1024,10,2.308607e-16, 1024000, 0.00222,1.108050e-04,462.072867
2048,10,2.447624e-16, 2252800, 0.00275,1.375556e-04,818.868884
4096,10,2.479782e-16, 4915200, 0.00433,2.166510e-04, 1134.359141
8192, 1,2.578834e-16, 1064960, 0.00065,3.225803e-04, 1650.689574
16384, 1,2.731273e-16, 2293760, 0.00133,6.639957e-04, 1727.239990
32768, 1,2.921322e-16, 4915200, 0.00223,1.114607e-03, 2204.902997
65536, 1,2.828400e-16,10485760, 0.00483,2.417445e-03, 2168.768929
131072, 1,3.149840e-16,22282240, 0.00955,4.776478e-03, 2332.496964
262144, 1,3.219822e-16,47185920, 0.02103,1.051700e-02, 2243.316289
524288, 1,3.279652e-16,99614720, 0.04386,2.192998e-02, 2271.199588
1048576, 1,3.284238e-16, 209715200, 0.09130,4.565048e-02, 2296.965881
2097152, 1,3.509064e-16, 440401920, 0.17828,8.914101e-02, 2470.254229
4194304, 1,3.560301e-16, 922746880, 0.40682,2.034110e-01, 2268.183522
8388608, 1,3.711263e-16,1929379840, 0.77423,3.871130e-01, 2492.011330
16777216, 1,3.653336e-16,4026531840, 1.75674,8.783705e-01, 2292.046313
33554432, 1,3.816355e-16,8388608000, 3.42795,1.713977e+00, 2447.117367
