N,NITS,Error, FLOPS, Time,Time/Call, MFLOPS
1024,10,2.308607e-16, 1024000, 0.00231,1.155972e-04,442.917118
2048,10,2.447624e-16, 2252800, 0.00270,1.348495e-04,835.301278
4096,10,2.479782e-16, 4915200, 0.00399,1.995444e-04, 1231.605414
8192, 1,2.578834e-16, 1064960, 0.00054,2.700090e-04, 1972.082114
16384, 1,2.731273e-16, 2293760, 0.00104,5.185604e-04, 2211.661320
32768, 1,2.921322e-16, 4915200, 0.00164,8.219481e-04, 2989.969981
65536, 1,2.828400e-16,10485760, 0.00362,1.811981e-03, 2893.451652
131072, 1,3.149840e-16,22282240, 0.00672,3.358960e-03, 3316.836014
262144, 1,3.219822e-16,47185920, 0.01520,7.598996e-03, 3104.746929
524288, 1,3.279652e-16,99614720, 0.02773,1.386499e-02, 3592.310233
1048576, 1,3.284238e-16, 209715200, 0.06461,3.230655e-02, 3245.706946
2097152, 1,3.509064e-16, 440401920, 0.13498,6.749153e-02, 3262.645780
4194304, 1,3.560301e-16, 922746880, 0.28124,1.406186e-01, 3281.027989
8388608, 1,3.711263e-16,1929379840, 0.51952,2.597600e-01, 3713.773628
16777216, 1,3.653336e-16,4026531840, 1.18162,5.908115e-01, 3407.628238
33554432, 1,3.816355e-16,8388608000, 2.13189,1.065946e+00, 3934.818525
